ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
-8,-4,-1,-2,-15,1.2378,1.2533,1.2359,1.2452,-0.005475321,-0.001292929,0.0050040355,-0.002074523,-0.007120317,-0.010699457,-0.005475321,-0.001292929,0.0056206841,Hold,2014W47
-8,-4,-1,-2,-15,1.2528,1.2602,1.2375,1.239,0.0042234441,-0.001613554,-0.010699457,-0.005475321,-0.001292929,0.0056206841,0.0042234441,-0.001613554,-0.005668663,Hold,2014W46
-8,-4,-1,-2,-15,1.2453,1.2549,1.2395,1.2524,-0.002384927,0.0028317152,0.0056206841,0.0042234441,-0.001613554,-0.005668663,-0.002384927,0.0028317152,-0.011522374,Buy,2014W45
-8,-4,-1,-2,-15,1.2517,1.2579,1.236,1.2454,-0.015034062,-0.010012014,-0.005668663,-0.002384927,0.0028317152,-0.011522374,-0.015034062,-0.010012014,-0.007208337,Sell,2014W44
-8,-5,0,-1,-14,1.2682,1.2771,1.2485,1.2525,-0.005296363,-0.010069775,-0.011522374,-0.015034062,-0.010012014,-0.007208337,-0.005296363,-0.010069775,0.010690529,Sell,2014W43
-8,-5,0,-1,-14,1.2757,1.2839,1.2612,1.2671,-0.003724684,-0.000554719,-0.007208337,-0.005296363,-0.010069775,0.010690529,-0.003724684,-0.000554719,0.0088679396,Sell,2014W42
-8,-5,0,-1,-14,1.2637,1.2887,1.2619,1.2763,0.0074265166,0.0092777733,0.010690529,-0.003724684,-0.000554719,0.0088679396,0.0074265166,0.0092777733,-0.013243989,Buy,2014W41
-8,-5,0,-1,-14,1.2508,1.2792,1.2503,1.2628,0.0059767222,0.00024,0.0088679396,0.0074265166,0.0092777733,-0.013243989,0.0059767222,0.00024,-0.011224569,Buy,2014W40
-8,-5,0,-1,-14,1.2685,1.2716,1.25,1.2517,-0.01441637,-0.013884506,-0.013243989,0.0059767222,0.00024,-0.011224569,-0.01441637,-0.013884506,-0.01048978,Sell,2014W39
-10,-6,1,-1,-16,1.2828,1.2902,1.2676,1.2685,-0.007156599,-0.011772043,-0.011224569,-0.01441637,-0.013884506,-0.01048978,-0.007156599,-0.011772043,0.0010809976,Sell,2014W38
-10,-6,1,-1,-16,1.2976,1.2995,1.2827,1.2829,0.001155624,-0.002488529,-0.01048978,-0.007156599,-0.011772043,0.0010809976,0.001155624,-0.002488529,-0.01385822,Hold,2014W37
-10,-6,1,-1,-16,1.2943,1.298,1.2859,1.2965,-0.013677812,-0.00456727,0.0010809976,0.001155624,-0.002488529,-0.01385822,-0.013677812,-0.00456727,-0.008306275,Hold,2014W36
-10,-6,1,-1,-16,1.3137,1.316,1.2918,1.2951,-0.004538578,-0.016221156,-0.01385822,-0.013677812,-0.00456727,-0.008306275,-0.004538578,-0.016221156,-0.01164266,Sell,2014W35
-7,-5,2,-2,-12,1.3218,1.322,1.3131,1.3133,-0.013432836,-0.006732224,-0.008306275,-0.004538578,-0.016221156,-0.01164266,-0.013432836,-0.006732224,-0.000894788,Sell,2014W34
-7,-5,2,-2,-12,1.3394,1.34,1.322,1.3243,-0.001192606,-0.00869826,-0.01164266,-0.013432836,-0.006732224,-0.000894788,-0.001192606,-0.00869826,-0.001489092,Sell,2014W33
-7,-5,2,-2,-12,1.3401,1.3416,1.3336,1.3399,-0.001339884,0.00030003,-0.000894788,-0.001192606,-0.00869826,-0.001489092,-0.001339884,0.00030003,-0.000074449,Sell,2014W32
-7,-5,2,-2,-12,1.3427,1.3434,1.3332,1.3411,-0.000818148,-0.002543768,-0.001489092,-0.001339884,0.00030003,-0.000074449,-0.000818148,-0.002543768,-0.006802721,Sell,2014W31
-7,-5,2,-2,-12,1.3432,1.3445,1.3366,1.3431,-0.007895514,-0.004172255,-0.000074449,-0.000818148,-0.002543768,-0.006802721,-0.007895514,-0.004172255,-0.006245867,Sell,2014W30
-7,-4,1,-1,-11,1.3529,1.3552,1.3422,1.3432,-0.006378767,-0.005114521,-0.006802721,-0.007895514,-0.004172255,-0.006245867,-0.006378767,-0.005114521,0.0009561636,Sell,2014W29
-7,-4,1,-1,-11,1.3601,1.3639,1.3491,1.3524,-0.000879056,-0.006187845,-0.006245867,-0.006378767,-0.005114521,0.0009561636,-0.000879056,-0.006187845,-0.003883068,Sell,2014W28
-7,-4,1,-1,-11,1.3596,1.3651,1.3575,1.3609,-0.003722084,-0.000809657,0.0009561636,-0.000879056,-0.006187845,-0.003883068,-0.003722084,-0.000809657,0.0036767409,Hold,2014W27
-7,-4,1,-1,-11,1.3647,1.3702,1.3586,1.3596,0.0035889548,0.000884043,-0.003883068,-0.003722084,-0.000809657,0.0036767409,0.0035889548,0.000884043,0.0042091272,Hold,2014W26
-7,-4,2,-1,-10,1.3595,1.3653,1.3574,1.3649,0.0007329766,0.0045141715,0.0036767409,0.0035889548,0.000884043,0.0042091272,0.0007329766,0.0045141715,-0.007330303,Buy,2014W25
-7,-4,2,-1,-10,1.3535,1.3643,1.3513,1.3599,-0.00182909,0.0001480275,0.0042091272,0.0007329766,0.0045141715,-0.007330303,-0.00182909,0.0001480275,0.0008069841,Buy,2014W24
-7,-4,2,-1,-10,1.3643,1.3668,1.3511,1.3542,-0.000804152,0.0005924609,-0.007330303,-0.00182909,0.0001480275,0.0008069841,-0.000804152,0.0005924609,-0.000220038,Sell,2014W23
