ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
-3,-1,-3,-4,-11,1.1196,1.1217,1.1116,1.1169,0.0001783326,0.0007202017,-0.003123884,0.0117678524,0.0035984167,0.0041226026,0.0001783326,0.0007202017,-0.006853583,Hold,2019W21
-3,-1,-3,-4,-11,1.1159,1.1215,1.1108,1.1204,-0.004615248,-0.004213357,0.0041226026,0.0001783326,0.0007202017,-0.006853583,-0.004615248,-0.004213357,0.0029459025,Hold,2019W20
-3,-1,-3,-4,-11,1.1242,1.1267,1.1155,1.1158,0.0010661928,-0.000448029,-0.006853583,-0.004615248,-0.004213357,0.0029459025,0.0010661928,-0.000448029,0.0047537896,Hold,2019W19
-3,-1,-3,-4,-11,1.1172,1.1255,1.116,1.1235,-0.001065057,0.0022451729,0.0029459025,0.0010661928,-0.000448029,0.0047537896,-0.001065057,0.0022451729,-0.008801565,Buy,2019W18
-3,-1,-3,-4,-11,1.1154,1.1267,1.1135,1.1202,0.0002663352,0.0021600216,0.0047537896,-0.001065057,0.0022451729,-0.008801565,0.0002663352,0.0021600216,-0.004777915,Buy,2019W17
-6,-2,-3,-3,-14,1.1245,1.1264,1.1111,1.1149,-0.00547413,-0.010244076,-0.008801565,0.0002663352,0.0021600216,-0.004777915,-0.00547413,-0.010244076,0.0076676177,Sell,2019W16
-6,-2,-3,-3,-14,1.13,1.1326,1.1226,1.1248,-0.000088285,0.001070091,-0.004777915,-0.00547413,-0.010244076,0.0076676177,-0.000088285,0.001070091,-0.000178285,Sell,2019W15
-6,-2,-3,-3,-14,1.1219,1.1327,1.1214,1.1302,0.006218353,0.0027720647,0.0076676177,-0.000088285,0.001070091,-0.000178285,0.006218353,0.0027720647,-0.008485063,Buy,2019W14
-6,-2,-3,-3,-14,1.1218,1.1257,1.1183,1.1216,-0.00670608,-0.00223055,-0.000178285,0.006218353,0.0027720647,-0.008485063,-0.00670608,-0.00223055,-0.000971302,Sell,2019W13
-5,-5,-2,-3,-15,1.1293,1.1333,1.1208,1.1218,-0.010131889,-0.005677786,-0.008485063,-0.00670608,-0.00223055,-0.000971302,-0.010131889,-0.005677786,0.0075622776,Sell,2019W12
-5,-5,-2,-3,-15,1.1323,1.1449,1.1272,1.1314,0.0091670339,0.0046345811,-0.000971302,-0.010131889,-0.005677786,0.0075622776,0.0091670339,0.0046345811,-0.012041839,Hold,2019W11
-5,-5,-2,-3,-15,1.1239,1.1345,1.122,1.1325,-0.004649939,0.0038471862,0.0075622776,0.0091670339,0.0046345811,-0.012041839,-0.004649939,0.0038471862,0.0029974434,Buy,2019W10
-5,-5,-2,-3,-15,1.138,1.1398,1.1177,1.124,-0.002101208,-0.012981279,-0.012041839,-0.004649939,0.0038471862,0.0029974434,-0.002101208,-0.012981279,0.004249668,Sell,2019W09
-5,-5,-2,-3,-15,1.134,1.1422,1.1324,1.1377,0.0041318681,0.0042568287,0.0029974434,-0.002101208,-0.012981279,0.004249668,0.0041318681,0.0042568287,-0.003089144,Buy,2019W08
